Fold,Epoch,Loss,Accuracy,Pred_Real,Pred_Fake,True_Real,True_Fake,TN,FP,FN,TP
3,44,0.062218938022851944,0.8267716535433071,42,85,52,75,36,16,6,69
3,45,0.049662936478853226,0.8346456692913385,43,84,52,75,37,15,6,69
3,46,0.051354531198740005,0.8346456692913385,43,84,52,75,37,15,6,69
3,47,0.044018957763910294,0.8346456692913385,43,84,52,75,37,15,6,69
3,48,0.04612753167748451,0.8346456692913385,45,82,52,75,38,14,7,68
3,49,0.04256947338581085,0.8346456692913385,45,82,52,75,38,14,7,68
4,0,0.9876818060874939,0.5905511811023622,0,127,52,75,0,52,0,75
4,1,48.07023620605469,0.5905511811023622,0,127,52,75,0,52,0,75
4,2,13.04379653930664,0.5905511811023622,0,127,52,75,0,52,0,75
4,3,2.236733913421631,0.4094488188976378,127,0,52,75,52,0,75,0
4,4,1.7261574268341064,0.4094488188976378,127,0,52,75,52,0,75,0
4,5,1.835561990737915,0.4094488188976378,127,0,52,75,52,0,75,0
4,6,1.6425347328186035,0.4094488188976378,127,0,52,75,52,0,75,0
4,7,1.423737645149231,0.5275590551181102,108,19,52,75,50,2,58,17
4,8,1.273384928703308,0.6220472440944882,44,83,52,75,24,28,20,55
4,9,1.1813963651657104,0.5984251968503937,33,94,52,75,17,35,16,59
4,10,1.134992003440857,0.6299212598425197,33,94,52,75,19,33,14,61
4,11,1.0643155574798584,0.5669291338582677,101,26,52,75,49,3,52,23
4,12,1.0047460794448853,0.48031496062992124,116,11,52,75,51,1,65,10
4,13,0.9610124826431274,0.49606299212598426,114,13,52,75,51,1,63,12
4,14,0.9149507880210876,0.5433070866141733,104,23,52,75,49,3,55,20
4,15,0.8639968037605286,0.6062992125984252,82,45,52,75,42,10,40,35
4,16,0.7988343834877014,0.6929133858267716,37,90,52,75,25,27,12,63
4,17,0.7461303472518921,0.6299212598425197,11,116,52,75,8,44,3,72
4,18,0.700774610042572,0.6377952755905512,12,115,52,75,9,43,3,72
4,19,0.6439139246940613,0.6456692913385826,19,108,52,75,13,39,6,69
4,20,0.5987688302993774,0.6456692913385826,17,110,52,75,12,40,5,70
4,21,0.56971675157547,0.6220472440944882,14,113,52,75,9,43,5,70
4,22,0.5436538457870483,0.6220472440944882,12,115,52,75,8,44,4,71
4,23,0.5109320878982544,0.6141732283464567,9,118,52,75,6,46,3,72
4,24,0.49598968029022217,0.6220472440944882,8,119,52,75,6,46,2,73
4,25,0.49280858039855957,0.6141732283464567,9,118,52,75,6,46,3,72
4,26,0.4798603355884552,0.6141732283464567,9,118,52,75,6,46,3,72
4,27,0.4666479527950287,0.6299212598425197,13,114,52,75,9,43,4,71
4,28,0.4250810146331787,0.6456692913385826,15,112,52,75,11,41,4,71
4,29,0.3653776943683624,0.6929133858267716,21,106,52,75,17,35,4,71
4,30,0.3596954047679901,0.6850393700787402,20,107,52,75,16,36,4,71
4,31,0.3130682110786438,0.6535433070866141,16,111,52,75,12,40,4,71
4,32,0.2878933846950531,0.6535433070866141,16,111,52,75,12,40,4,71
