Fold,Epoch,Train_Loss,Test_Loss,Train_Acc,Test_Acc,Precision,Recall,Train_CM,Test_CM
1,18,0.49047404527664185,0.5517139434814453,0.765466816647919,0.703125,0.8363636363636363,0.6133333333333333,"[[620, 110], [307, 741]]","[[44, 9], [29, 46]]"
1,19,0.4756060242652893,0.5536965131759644,0.7649043869516311,0.6796875,0.84,0.56,"[[644, 86], [332, 716]]","[[45, 8], [33, 42]]"
1,20,0.4802130162715912,0.5574141144752502,0.7559055118110236,0.6875,0.8888888888888888,0.5333333333333333,"[[653, 77], [357, 691]]","[[48, 5], [35, 40]]"
1,21,0.48066088557243347,0.5568438172340393,0.7547806524184477,0.6953125,0.8913043478260869,0.5466666666666666,"[[652, 78], [358, 690]]","[[48, 5], [34, 41]]"
1,22,0.4675365686416626,0.5542181134223938,0.7604049493813273,0.6875,0.8723404255319149,0.5466666666666666,"[[650, 80], [346, 702]]","[[47, 6], [34, 41]]"
2,0,0.8981611132621765,0.8146748542785645,0.4541877459246768,0.47244094488188976,0.7222222222222222,0.17333333333333334,"[[663, 68], [903, 145]]","[[47, 5], [62, 13]]"
2,1,0.8377981781959534,0.662408173084259,0.5761663856098932,0.5984251968503937,0.7857142857142857,0.44,"[[619, 112], [642, 406]]","[[43, 9], [42, 33]]"
2,2,0.7318273782730103,0.7488465309143066,0.6638560989319843,0.6771653543307087,0.7073170731707317,0.7733333333333333,"[[384, 347], [251, 797]]","[[28, 24], [17, 58]]"
2,3,0.7057719230651855,0.7863743305206299,0.6734120292299044,0.6929133858267716,0.7195121951219512,0.7866666666666666,"[[403, 328], [253, 795]]","[[29, 23], [16, 59]]"
2,4,0.7060707211494446,0.7204616665840149,0.6863406408094435,0.6850393700787402,0.7611940298507462,0.68,"[[510, 221], [337, 711]]","[[36, 16], [24, 51]]"
2,5,0.6323057413101196,0.6592062711715698,0.6739741427768409,0.6692913385826772,0.7894736842105263,0.6,"[[615, 116], [464, 584]]","[[40, 12], [30, 45]]"
2,6,0.6057424545288086,0.645768404006958,0.6689151208544126,0.6771653543307087,0.8035714285714286,0.6,"[[653, 78], [511, 537]]","[[41, 11], [30, 45]]"
2,7,0.5976637005805969,0.6329372525215149,0.6779089376053963,0.6850393700787402,0.8181818181818182,0.6,"[[664, 67], [506, 542]]","[[42, 10], [30, 45]]"
2,8,0.6128314137458801,0.6245476007461548,0.7189432265317595,0.7086614173228346,0.8166666666666667,0.6533333333333333,"[[626, 105], [395, 653]]","[[41, 11], [26, 49]]"
